Class Time;Attendance Status;Stress Level (GSR);Sleep Hours;Anxiety Level;Mood Score;Risk Level;pre1;pre2;pre3;pre4;pre5;pre6;pre7;pre8;pre9;pre10;pre11;pre12;pre13;pre14;pre15
20:00:00;Late;1.39;6;2;1;Medium;Third year;Male;Every night;More than 8 hours;Every night;Very poor;Often;Often;Never;Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Late;0.69;5.9;5;4;Low;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Poor;Sometimes;Often;Always;Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Every day;Extremely high stress;Below Average
17:00:00;Present;2.27;5.1;7;8;Low;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
22:00:00;Present;3.47;5.7;2;10;Low;Third year;Female;Often (5-6 times a week);7-8 hours;Every night;Poor;Always;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
21:00:00;Present;3.28;5.8;2;5;Low;Second year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Poor
18:00:00;Present;2.43;5.5;3;3;Medium;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Good;Often;Always;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
19:00:00;Present;2.09;5.4;1;1;Medium;Third year;Male;Every night;More than 8 hours;Sometimes (3-4 times a week);Poor;Rarely;Always;Always;Severe impact;Often (5-6 times a week);Every day;Every day;Low stress;Below Average
21:00:00;Present;2.7;5.4;4;9;Low;Second year;Male;Every night;More than 8 hours;Often (5-6 times a week);Good;Often;Often;Always;Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
18:00:00;Absent;4.93;6;9;9;High;Graduate student;Male;Sometimes (3-4 times a week);7-8 hours;Sometimes (3-4 times a week);Very good;Often;Often;Often (3-4 times a week);Moderate impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Present;4.16;7.3;8;5;High;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Sometimes;Always;Severe impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);Extremely high stress;Average
15:00:00;Absent;1.66;8.8;9;8;High;Third year;Female;Every night;7-8 hours;Often (5-6 times a week);Very good;Often;Always;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Rarely (1-2 times a week);High stress;Below Average
18:00:00;Present;4.29;7.8;6;3;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Never;Very poor;Often;Sometimes;Often (3-4 times a week);Moderate impact;Every night;Every day;Often (5-6 times a week);High stress;Poor
19:00:00;Absent;3.25;7.7;5;4;High;Graduate student;Male;Every night;7-8 hours;Every night;Good;Often;Often;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
18:00:00;Present;3.1;5.3;2;7;Low;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Severe impact;Every night;Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Absent;0.67;8.5;10;7;High;Third year;Female;Every night;More than 8 hours;Every night;Good;Often;Sometimes;Often (3-4 times a week);Major impact;Sometimes (3-4 times a week);Every day;Sometimes (3-4 times a week);High stress;Poor
22:00:00;Present;1.16;7.4;9;2;Medium;Graduate student;Female;Often (5-6 times a week);7-8 hours;Every night;Poor;Rarely;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
21:00:00;Absent;1.26;7.7;7;10;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Rarely (1-2 times a week);Good;Always;Always;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Every day;High stress;Poor
21:00:00;Absent;1.65;8.4;5;5;High;Second year;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Always;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;High stress;Below Average
17:00:00;Late;4.49;8.9;10;7;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Every night;Good;Always;Often;Always;Severe impact;Rarely (1-2 times a week);Often (5-6 times a week);Every day;High stress;Poor
21:00:00;Absent;4.52;8.9;4;5;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Good;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Present;2.93;8.6;1;4;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Average;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
20:00:00;Absent;4.06;7.8;8;2;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Always;Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Late;2.89;5;4;5;Low;Graduate student;Male;Every night;7-8 hours;Every night;Very good;Often;Always;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
18:00:00;Late;1.44;8.4;1;2;Medium;Graduate student;Male;Every night;7-8 hours;Every night;Very poor;Always;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Poor
16:00:00;Present;2.34;7.7;5;10;Low;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Poor;Always;Sometimes;Sometimes (1-2 times a week);Minor impact;Every night;Every day;Sometimes (3-4 times a week);High stress;Poor
21:00:00;Absent;4.44;7.2;7;8;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);High stress;Poor
20:00:00;Late;4.5;8.6;6;4;High;Graduate student;Male;Every night;7-8 hours;Every night;Very poor;Always;Often;Always;Major impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
18:00:00;Present;4.97;7.7;8;4;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Often;Always;Always;Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;Low stress;Poor
16:00:00;Late;1.69;5.6;7;10;Low;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Rarely (1-2 times a week);Often (5-6 times a week);High stress;Below Average
17:00:00;Late;4.58;5.5;6;10;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
19:00:00;Absent;4.82;7.8;4;8;High;Second year;Male;Sometimes (3-4 times a week);More than 8 hours;Every night;Good;Often;Rarely;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
15:00:00;Present;0.81;6.1;3;8;Low;Graduate student;Male;Every night;Less than 4 hours;Often (5-6 times a week);Very poor;Always;Often;Always;Major impact;Every night;Often (5-6 times a week);Rarely (1-2 times a week);Extremely high stress;Below Average
17:00:00;Late;1.46;6.1;10;6;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Rarely;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Sometimes (3-4 times a week);High stress;Below Average
15:00:00;Present;3.34;6.4;4;5;Low;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Minor impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Absent;1.9;8.7;8;3;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Good;Rarely;Often;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Average
19:00:00;Absent;4.95;6.3;5;6;High;First year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Good;Often;Always;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Rarely (1-2 times a week);Extremely high stress;Below Average
18:00:00;Late;3.87;6.3;1;9;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Poor;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;High stress;Below Average
18:00:00;Present;4.08;7.1;1;7;High;Graduate student;Male;Every night;7-8 hours;Never;Good;Often;Often;Often (3-4 times a week);Minor impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Low stress;Poor
21:00:00;Late;1.29;8.8;6;2;Medium;Third year;Male;Sometimes (3-4 times a week);More than 8 hours;Often (5-6 times a week);Poor;Sometimes;Often;Always;Major impact;Every night;Every day;Often (5-6 times a week);High stress;Average
18:00:00;Present;2.37;8.5;7;2;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Severe impact;Every night;Every day;Every day;Extremely high stress;Poor
21:00:00;Late;2.05;5.1;6;5;Low;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Poor;Often;Often;Sometimes (1-2 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Present;0.81;5.7;2;4;Low;Graduate student;Male;Every night;More than 8 hours;Every night;Very poor;Often;Always;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Below Average
20:00:00;Late;3.67;7;6;5;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Good;Sometimes;Always;Always;Severe impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
18:00:00;Late;4.16;6.8;1;4;High;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very good;Rarely;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Poor
21:00:00;Present;0.92;5.6;4;1;Medium;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Major impact;Rarely (1-2 times a week);Every day;Every day;High stress;Below Average
19:00:00;Late;1.17;8.4;5;9;Low;Graduate student;Female;Every night;7-8 hours;Every night;Very good;Often;Sometimes;Always;Minor impact;Every night;Every day;Often (5-6 times a week);High stress;Poor
19:00:00;Absent;3.01;8.3;9;2;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Sometimes (3-4 times a week);Poor;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Rarely (1-2 times a week);Every day;Extremely high stress;Poor
21:00:00;Late;4.53;6.6;9;7;High;Third year;Female;Every night;7-8 hours;Every night;Very poor;Sometimes;Sometimes;Always;Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
17:00:00;Late;4.15;6.9;5;10;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Present;2.9;6.2;2;4;Low;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Always;Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Poor
22:00:00;Absent;2.13;8.7;2;10;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Always;Major impact;Rarely (1-2 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Good
19:00:00;Present;4.43;5.6;9;8;High;Graduate student;Male;Every night;7-8 hours;Every night;Poor;Sometimes;Often;Always;Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
18:00:00;Late;4.28;7.1;5;9;High;Second year;Male;Every night;7-8 hours;Every night;Poor;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Below Average
16:00:00;Late;1.41;8.9;2;9;Low;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
20:00:00;Absent;4.33;6.2;10;7;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Severe impact;Sometimes (3-4 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
17:00:00;Absent;0.52;7.2;6;5;High;Third year;Female;Often (5-6 times a week);7-8 hours;Every night;Good;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Every day;High stress;Poor
18:00:00;Absent;4.82;9;7;2;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;High stress;Average
18:00:00;Present;3.68;6.6;3;2;High;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Poor;Sometimes;Often;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Below Average
18:00:00;Absent;3.17;6;1;6;High;First year;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Always;Often;Often (3-4 times a week);Major impact;Every night;Every day;Every day;Low stress;Below Average
20:00:00;Present;1.27;7.9;1;4;Low;Second year;Male;Every night;7-8 hours;Sometimes (3-4 times a week);Very poor;Often;Often;Always;Minor impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
22:00:00;Absent;2.28;8;7;1;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Often;Always;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Below Average
20:00:00;Present;4.75;8.3;1;5;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Sometimes;Always;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
21:00:00;Present;1.1;6.3;2;3;Medium;Third year;Male;Rarely (1-2 times a week);More than 8 hours;Every night;Very poor;Always;Sometimes;Always;Moderate impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Average
18:00:00;Late;4.2;7.1;2;5;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Very poor;Always;Sometimes;Always;Major impact;Every night;Every day;Every day;High stress;Below Average
19:00:00;Present;1.98;6.2;8;6;Medium;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Sometimes;Often (3-4 times a week);Minor impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Below Average
21:00:00;Late;1.24;6.5;3;7;Low;Graduate student;Female;Every night;More than 8 hours;Every night;Good;Often;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Late;3.9;6.2;7;2;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Every night;Very good;Often;Often;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Average
17:00:00;Late;4.99;7.4;2;7;High;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Often;Always;Often (3-4 times a week);Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);Extremely high stress;Poor
19:00:00;Absent;3.98;6.7;7;4;High;Third year;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Average
17:00:00;Present;4.15;7.6;2;8;High;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Good;Always;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
16:00:00;Absent;3.75;8.6;4;10;High;Third year;Female;Every night;7-8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Minor impact;Every night;Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Below Average
18:00:00;Absent;4.28;5.9;9;8;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Often;Always;Always;Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
17:00:00;Late;2.03;6.9;4;5;Low;Graduate student;Female;Often (5-6 times a week);6-7 hours;Every night;Very poor;Often;Always;Always;Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
17:00:00;Absent;4.8;7.7;10;1;High;Third year;Female;Every night;More than 8 hours;Often (5-6 times a week);Good;Often;Always;Always;Moderate impact;Rarely (1-2 times a week);Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Below Average
21:00:00;Present;1.76;7.5;3;10;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Major impact;Every night;Every day;Often (5-6 times a week);Extremely high stress;Below Average
16:00:00;Late;0.83;6.1;8;2;Medium;Second year;Female;Every night;More than 8 hours;Often (5-6 times a week);Good;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;Low stress;Below Average
18:00:00;Present;1.31;8.9;1;10;Low;First year;Male;Often (5-6 times a week);6-7 hours;Often (5-6 times a week);Very good;Often;Always;Always;Severe impact;Often (5-6 times a week);Every day;Every day;High stress;Below Average
18:00:00;Absent;2.19;7.9;10;6;High;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Below Average
15:00:00;Absent;2.91;7.6;7;9;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Poor;Often;Often;Often (3-4 times a week);Major impact;Every night;Sometimes (3-4 times a week);Every day;Extremely high stress;Good
20:00:00;Late;4.92;7.7;8;7;High;Graduate student;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Often;Always;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Poor
17:00:00;Absent;2.72;6.3;3;8;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Always;Often;Always;Moderate impact;Every night;Often (5-6 times a week);Every day;High stress;Poor
22:00:00;Late;3.87;8;8;10;High;First year;Female;Often (5-6 times a week);6-7 hours;Often (5-6 times a week);Very poor;Often;Always;Sometimes (1-2 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
16:00:00;Late;2.09;6;6;5;Low;Graduate student;Male;Often (5-6 times a week);4-5 hours;Every night;Very poor;Always;Sometimes;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Rarely (1-2 times a week);Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Late;1.29;5.3;3;2;Medium;Graduate student;Male;Every night;6-7 hours;Often (5-6 times a week);Good;Always;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Poor
19:00:00;Absent;2.6;8.7;2;10;High;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Always;Often;Always;Major impact;Rarely (1-2 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Late;2.15;5.4;6;6;Low;Graduate student;Male;Often (5-6 times a week);6-7 hours;Often (5-6 times a week);Very poor;Often;Always;Sometimes (1-2 times a week);Severe impact;Every night;Rarely (1-2 times a week);Every day;High stress;Below Average
15:00:00;Present;1.59;8.4;8;3;Medium;Graduate student;Male;Every night;More than 8 hours;Every night;Very good;Often;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Poor
19:00:00;Present;0.75;7.1;7;4;Low;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Very poor;Often;Always;Always;Severe impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
17:00:00;Present;2.55;6.3;8;2;Medium;Graduate student;Male;Every night;More than 8 hours;Often (5-6 times a week);Good;Often;Rarely;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Often (5-6 times a week);High stress;Below Average
19:00:00;Late;3.35;7.1;4;10;Low;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Always;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;Low stress;Below Average
17:00:00;Present;0.99;6.3;8;7;Medium;Third year;Female;Every night;7-8 hours;Often (5-6 times a week);Good;Sometimes;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;Low stress;Poor
19:00:00;Late;1.02;5.2;3;9;Low;Graduate student;Female;Every night;More than 8 hours;Often (5-6 times a week);Very good;Always;Often;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);High stress;Below Average
18:00:00;Present;0.94;6.3;7;4;Low;Third year;Male;Every night;7-8 hours;Every night;Very poor;Often;Often;Always;Major impact;Rarely (1-2 times a week);Every day;Sometimes (3-4 times a week);High stress;Below Average
20:00:00;Absent;3.81;7.8;10;6;High;Third year;Female;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Good;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Average
19:00:00;Late;3.66;6.7;8;2;High;Graduate student;Female;Every night;More than 8 hours;Every night;Good;Always;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Late;1.4;6.6;4;9;Low;Graduate student;Male;Every night;7-8 hours;Every night;Very good;Often;Often;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Every day;Extremely high stress;Excellent
19:00:00;Present;0.75;7.2;4;10;Low;Graduate student;Female;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Always;Often;Often (3-4 times a week);Severe impact;Every night;Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Poor
15:00:00;Present;3.37;5.1;2;1;Medium;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Average;Always;Often;Often (3-4 times a week);Moderate impact;Every night;Often (5-6 times a week);Sometimes (3-4 times a week);High stress;Below Average
18:00:00;Absent;4.73;8.2;1;2;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Good;Often;Always;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Rarely (1-2 times a week);Extremely high stress;Below Average
20:00:00;Absent;2.2;6.1;4;7;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very good;Often;Often;Always;Minor impact;Every night;Rarely (1-2 times a week);Every day;High stress;Poor
18:00:00;Late;3.21;7.1;9;1;Medium;Third year;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very good;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Every day;Every day;Extremely high stress;Poor
21:00:00;Late;4.69;5;2;9;High;Graduate student;Male;Every night;7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Always;Severe impact;Often (5-6 times a week);Often (5-6 times a week);Every day;High stress;Poor
19:00:00;Late;4.13;6.9;3;6;High;Graduate student;Male;Often (5-6 times a week);More than 8 hours;Every night;Poor;Often;Always;Sometimes (1-2 times a week);Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Often (5-6 times a week);Extremely high stress;Poor
20:00:00;Absent;1.05;7.9;6;5;High;Third year;Female;Every night;More than 8 hours;Sometimes (3-4 times a week);Very poor;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
19:00:00;Late;2.11;6.9;10;6;Medium;Third year;Male;Often (5-6 times a week);More than 8 hours;Every night;Very poor;Often;Sometimes;Often (3-4 times a week);Severe impact;Every night;Often (5-6 times a week);Rarely (1-2 times a week);Extremely high stress;Poor
19:00:00;Late;2.73;6;7;8;Low;Graduate student;Female;Every night;7-8 hours;Often (5-6 times a week);Very good;Always;Often;Often (3-4 times a week);Moderate impact;Every night;Rarely (1-2 times a week);Often (5-6 times a week);High stress;Poor
19:00:00;Absent;4.03;5.2;5;8;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Always;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Sometimes (3-4 times a week);Often (5-6 times a week);Extremely high stress;Poor
21:00:00;Absent;2.62;5.2;7;8;High;Third year;Female;Often (5-6 times a week);More than 8 hours;Every night;Very good;Sometimes;Always;Always;Moderate impact;Often (5-6 times a week);Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
21:00:00;Present;4.94;6.7;7;8;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Often (5-6 times a week);Very poor;Often;Often;Always;Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;Extremely high stress;Average
20:00:00;Late;1.19;5.9;8;8;Medium;Third year;Female;Every night;6-7 hours;Every night;Very poor;Often;Always;Always;Major impact;Every night;Every day;Every day;High stress;Poor
17:00:00;Late;2.82;7.1;2;5;Low;Third year;Male;Every night;7-8 hours;Often (5-6 times a week);Average;Sometimes;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Below Average
21:00:00;Present;3.17;6.8;1;9;Low;Graduate student;Male;Sometimes (3-4 times a week);More than 8 hours;Every night;Very poor;Often;Always;Often (3-4 times a week);Severe impact;Every night;Every day;Sometimes (3-4 times a week);High stress;Below Average
20:00:00;Late;4.73;7.5;4;2;High;Third year;Male;Every night;More than 8 hours;Every night;Very good;Often;Often;Always;Major impact;Sometimes (3-4 times a week);Often (5-6 times a week);Every day;High stress;Poor
17:00:00;Late;1.11;7.8;9;10;Medium;Third year;Female;Often (5-6 times a week);6-7 hours;Every night;Good;Often;Always;Sometimes (1-2 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Poor
20:00:00;Late;1.39;8.5;6;8;Low;Graduate student;Female;Every night;7-8 hours;Every night;Good;Often;Always;Sometimes (1-2 times a week);Severe impact;Often (5-6 times a week);Every day;Every day;High stress;Poor
17:00:00;Present;1.15;7.6;8;2;Medium;Third year;Male;Every night;More than 8 hours;Often (5-6 times a week);Good;Often;Always;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Late;2.26;7.4;5;2;Medium;Third year;Male;Often (5-6 times a week);More than 8 hours;Often (5-6 times a week);Poor;Sometimes;Often;Often (3-4 times a week);Severe impact;Often (5-6 times a week);Every day;Often (5-6 times a week);Extremely high stress;Poor
18:00:00;Absent;3.53;6.1;6;4;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Very poor;Often;Often;Often (3-4 times a week);Major impact;Often (5-6 times a week);Often (5-6 times a week);Every day;Extremely high stress;Below Average
17:00:00;Absent;2.92;5.9;10;6;High;Graduate student;Male;Often (5-6 times a week);7-8 hours;Every night;Good;Often;Always;Often (3-4 times a week);Major impact;Every night;Often (5-6 times a week);Often (5-6 times a week);High stress;Below Average
